"","Geo_Location","Date_Created"
"353305","{type: Point, coordinates: [2.23044, 102.27554]}","Sat Feb 01 05:22:20 +0000 2020"
"366383","{type: Point, coordinates: [52.232222, 21.008333]}","Sat Feb 01 12:24:50 +0000 2020"
"368029","{type: Point, coordinates: [30.52502419, 114.35014953]}","Sat Feb 01 13:11:05 +0000 2020"
"369553","{type: Point, coordinates: [26.6318, -81.8571]}","Sat Feb 01 14:10:13 +0000 2020"
"376022","{type: Point, coordinates: [51.1341, 6.74124]}","Sat Feb 01 17:41:25 +0000 2020"
"382219","{type: Point, coordinates: [-10.7081, -48.3083]}","Sat Feb 01 20:58:33 +0000 2020"
"403789","{type: Point, coordinates: [33.5206589, 130.5355058]}","Sun Feb 02 08:47:33 +0000 2020"
"407868","{type: Point, coordinates: [14.55504866, 121.04743302]}","Sun Feb 02 11:02:38 +0000 2020"
"411802","{type: Point, coordinates: [36.7214, -4.41883]}","Sun Feb 02 13:04:10 +0000 2020"
"413712","{type: Point, coordinates: [14.8208, 120.964]}","Sun Feb 02 14:04:38 +0000 2020"
"420439","{type: Point, coordinates: [33.45, 76.24]}","Sun Feb 02 17:49:40 +0000 2020"
"424820","{type: Point, coordinates: [41.3854908, -75.7080613]}","Sun Feb 02 20:06:02 +0000 2020"
"427031","{type: Point, coordinates: [28.34291439, -81.41681988]}","Sun Feb 02 21:21:21 +0000 2020"
"432771","{type: Point, coordinates: [-7.51268728, 110.59433394]}","Mon Feb 03 00:22:08 +0000 2020"
"433155","{type: Point, coordinates: [10.5, -66.9167]}","Mon Feb 03 00:36:47 +0000 2020"
"435871","{type: Point, coordinates: [37.71235651, -122.40294686]}","Mon Feb 03 02:07:02 +0000 2020"
"438732","{type: Point, coordinates: [45.75975883, -73.56725453]}","Mon Feb 03 03:38:04 +0000 2020"
"446549","{type: Point, coordinates: [12.9366966, 100.9309878]}","Mon Feb 03 08:09:06 +0000 2020"
"454145","{type: Point, coordinates: [-6.2646, 106.9833]}","Mon Feb 03 12:10:35 +0000 2020"
"465212","{type: Point, coordinates: [6.43111111, 3.41583333]}","Mon Feb 03 17:57:55 +0000 2020"
"479042","{type: Point, coordinates: [1.29306, 103.856]}","Tue Feb 04 01:30:32 +0000 2020"
"479138","{type: Point, coordinates: [-6.24991, 106.51292]}","Tue Feb 04 01:30:56 +0000 2020"
"484864","{type: Point, coordinates: [-6.89755598, 107.53456365]}","Tue Feb 04 04:46:05 +0000 2020"
"494941","{type: Point, coordinates: [52.232222, 21.008333]}","Tue Feb 04 10:48:17 +0000 2020"
"497180","{type: Point, coordinates: [38.9916, -77.0266]}","Tue Feb 04 12:03:40 +0000 2020"
"499527","{type: Point, coordinates: [40.35910436, -3.4953768]}","Tue Feb 04 13:19:02 +0000 2020"
"501313","{type: Point, coordinates: [-22.9433369, -43.18066835]}","Tue Feb 04 14:05:39 +0000 2020"
"504582","{type: Point, coordinates: [13.69210185, 100.74865376]}","Tue Feb 04 15:51:08 +0000 2020"
"506041","{type: Point, coordinates: [10.64614171, -61.37548685]}","Tue Feb 04 16:49:42 +0000 2020"
"511535","{type: Point, coordinates: [37.36704655, -121.92711954]}","Tue Feb 04 19:51:36 +0000 2020"
"511702","{type: Point, coordinates: [48.21354, -114.32905]}","Tue Feb 04 20:05:53 +0000 2020"
"516584","{type: Point, coordinates: [37.54274326, 126.98244019]}","Tue Feb 04 22:53:31 +0000 2020"
"518727","{type: Point, coordinates: [-7.4278, 109.2437]}","Wed Feb 05 00:08:51 +0000 2020"
"519206","{type: Point, coordinates: [1.3553794, 103.8677444]}","Wed Feb 05 00:24:02 +0000 2020"
"520411","{type: Point, coordinates: [25.540505, -103.460398]}","Wed Feb 05 01:09:01 +0000 2020"
"521682","{type: Point, coordinates: [-23.53883866, -46.60614967]}","Wed Feb 05 01:54:16 +0000 2020"
"531753","{type: Point, coordinates: [33.94695994, -118.37816389]}","Wed Feb 05 08:26:13 +0000 2020"
"531834","{type: Point, coordinates: [14.60683, 121.04034]}","Wed Feb 05 08:26:40 +0000 2020"
"535427","{type: Point, coordinates: [10.493, -66.921]}","Wed Feb 05 10:56:12 +0000 2020"
"538406","{type: Point, coordinates: [13.76306627, 100.57174036]}","Wed Feb 05 12:27:25 +0000 2020"
"548091","{type: Point, coordinates: [18.4596876, -69.9485084]}","Wed Feb 05 17:44:33 +0000 2020"
"548743","{type: Point, coordinates: [37.61326256, 15.16691566]}","Wed Feb 05 18:14:04 +0000 2020"
"549389","{type: Point, coordinates: [18.4596876, -69.9485084]}","Wed Feb 05 18:43:34 +0000 2020"
"553434","{type: Point, coordinates: [34.2283, -118.536]}","Wed Feb 05 21:31:06 +0000 2020"
"555932","{type: Point, coordinates: [43.7742911, -79.7164011]}","Wed Feb 05 23:30:04 +0000 2020"
"563546","{type: Point, coordinates: [49.22826439, -123.04986139]}","Thu Feb 06 10:03:33 +0000 2020"
"568814","{type: Point, coordinates: [45.5236111, -122.675]}","Thu Feb 06 01:01:32 +0000 2020"
"578735","{type: Point, coordinates: [1.81277633, 99.8215332]}","Thu Feb 06 12:49:40 +0000 2020"
"579244","{type: Point, coordinates: [30.594726, 114.26163725]}","Thu Feb 06 07:33:16 +0000 2020"
"580268","{type: Point, coordinates: [7.36612597, 125.71613275]}","Thu Feb 06 23:37:48 +0000 2020"
"584713","{type: Point, coordinates: [-6.658258, 106.8652238]}","Thu Feb 06 23:39:53 +0000 2020"
"586464","{type: Point, coordinates: [-6.16640197, 106.84793279]}","Thu Feb 06 08:03:32 +0000 2020"
"587308","{type: Point, coordinates: [-6.24991, 106.51292]}","Thu Feb 06 00:16:55 +0000 2020"
"591103","{type: Point, coordinates: [40.639722, -73.778889]}","Thu Feb 06 11:35:39 +0000 2020"
"594868","{type: Point, coordinates: [36.9304356, 14.74927296]}","Fri Feb 07 21:01:03 +0000 2020"
"595212","{type: Point, coordinates: [-6.72952298, 108.55395354]}","Fri Feb 07 17:01:33 +0000 2020"
"601583","{type: Point, coordinates: [3.07098937, 101.60843219]}","Fri Feb 07 12:43:48 +0000 2020"
"606007","{type: Point, coordinates: [40.7142, -74.0064]}","Fri Feb 07 22:48:39 +0000 2020"
"611778","{type: Point, coordinates: [41.02599, 14.46445]}","Fri Feb 07 06:26:50 +0000 2020"
"613583","{type: Point, coordinates: [45.6677507, -73.47935661]}","Fri Feb 07 15:47:03 +0000 2020"
"624734","{type: Point, coordinates: [28.0194, -82.7636]}","Fri Feb 07 23:18:49 +0000 2020"
"627204","{type: Point, coordinates: [53.00296283, -2.48981784]}","Fri Feb 07 19:45:34 +0000 2020"
"628021","{type: Point, coordinates: [20.27, 85.84]}","Fri Feb 07 03:56:31 +0000 2020"
"628073","{type: Point, coordinates: [34.03742524, -118.24874042]}","Fri Feb 07 04:41:11 +0000 2020"
"632602","{type: Point, coordinates: [36.9304356, 14.74927296]}","Fri Feb 07 19:01:02 +0000 2020"
"638664","{type: Point, coordinates: [40.7142, -74.0064]}","Sat Feb 08 02:03:46 +0000 2020"
"643541","{type: Point, coordinates: [22.79377445, 114.70570581]}","Sat Feb 08 05:34:20 +0000 2020"
"646462","{type: Point, coordinates: [10.29525897, 123.8806151]}","Sat Feb 08 07:35:30 +0000 2020"
"653651","{type: Point, coordinates: [40.5, -3.66666667]}","Sat Feb 08 13:07:33 +0000 2020"
"654928","{type: Point, coordinates: [11.4076, -69.6641]}","Sat Feb 08 13:53:06 +0000 2020"
"666519","{type: Point, coordinates: [45.5236111, -122.675]}","Sat Feb 08 21:24:34 +0000 2020"
"676345","{type: Point, coordinates: [1.3553794, 103.8677444]}","Sun Feb 09 03:27:32 +0000 2020"
"677709","{type: Point, coordinates: [48.52820265, -68.34461768]}","Sun Feb 09 04:12:54 +0000 2020"
"682951","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Feb 09 07:43:22 +0000 2020"
"692164","{type: Point, coordinates: [-15.8, -47.9]}","Sun Feb 09 13:15:32 +0000 2020"
"696839","{type: Point, coordinates: [22.79377445, 114.70570581]}","Sun Feb 09 16:01:35 +0000 2020"
"704017","{type: Point, coordinates: [38.5763, -121.4927]}","Sun Feb 09 20:46:59 +0000 2020"
"707931","{type: Point, coordinates: [37.79472222, -122.40722222]}","Sun Feb 09 23:19:31 +0000 2020"
"713136","{type: Point, coordinates: [-7.31838197, 112.7974852]}","Mon Feb 10 02:50:09 +0000 2020"
"717750","{type: Point, coordinates: [14.63927286, 121.03634781]}","Mon Feb 10 06:07:35 +0000 2020"
"723429","{type: Point, coordinates: [-6.15002724, 106.86173916]}","Mon Feb 10 10:21:17 +0000 2020"
"729635","{type: Point, coordinates: [6.64588664, 3.27139455]}","Mon Feb 10 13:53:07 +0000 2020"
"760372","{type: Point, coordinates: [-0.8349, 113.4668]}","Tue Feb 11 06:13:28 +0000 2020"
"777821","{type: Point, coordinates: [34.6703079, 135.5036128]}","Tue Feb 11 16:01:26 +0000 2020"
"785644","{type: Point, coordinates: [52.232222, 21.008333]}","Tue Feb 11 20:19:23 +0000 2020"
"787890","{type: Point, coordinates: [-33.6167, -70.9167]}","Tue Feb 11 21:49:56 +0000 2020"
"792502","{type: Point, coordinates: [13.86200131, 100.65507813]}","Wed Feb 12 01:05:32 +0000 2020"
"814145","{type: Point, coordinates: [1.33013657, 103.816541]}","Wed Feb 12 14:54:24 +0000 2020"
"816403","{type: Point, coordinates: [31.24982748, 121.4447304]}","Wed Feb 12 16:10:38 +0000 2020"
"826132","{type: Point, coordinates: [40.01709786, 116.52099609]}","Wed Feb 12 22:27:32 +0000 2020"
"828651","{type: Point, coordinates: [-6.1803, 106.8233]}","Thu Feb 13 00:13:37 +0000 2020"
"828953","{type: Point, coordinates: [38.74751841, -9.09904258]}","Thu Feb 13 00:28:32 +0000 2020"
"836280","{type: Point, coordinates: [28.46096, 77.028908]}","Thu Feb 13 05:44:04 +0000 2020"
"836443","{type: Point, coordinates: [55.852472, -4.309626]}","Thu Feb 13 05:45:17 +0000 2020"
"839394","{type: Point, coordinates: [35.77671771, 140.39167509]}","Thu Feb 13 08:00:03 +0000 2020"
"842102","{type: Point, coordinates: [3.30684979, 101.73464298]}","Thu Feb 13 10:00:21 +0000 2020"
"845545","{type: Point, coordinates: [14.63927286, 121.03634781]}","Thu Feb 13 12:16:41 +0000 2020"
"847842","{type: Point, coordinates: [34.6703079, 135.5036128]}","Thu Feb 13 13:32:57 +0000 2020"
"857648","{type: Point, coordinates: [45.5236111, -122.675]}","Thu Feb 13 19:04:34 +0000 2020"
"857815","{type: Point, coordinates: [45.08655502, 7.39924244]}","Thu Feb 13 19:18:18 +0000 2020"
"872711","{type: Point, coordinates: [45.6677507, -73.47935661]}","Fri Feb 14 04:54:05 +0000 2020"
"875188","{type: Point, coordinates: [-26.21659308, 28.06045532]}","Fri Feb 14 06:11:04 +0000 2020"
"880181","{type: Point, coordinates: [47.50374555, 8.5501939]}","Fri Feb 14 09:10:38 +0000 2020"
"889224","{type: Point, coordinates: [14.5617308, 121.0108558]}","Fri Feb 14 15:13:07 +0000 2020"
"895424","{type: Point, coordinates: [21.0, 77.0]}","Fri Feb 14 19:28:21 +0000 2020"
"903626","{type: Point, coordinates: [-6.17724943, 106.92337816]}","Sat Feb 15 02:14:27 +0000 2020"
"909419","{type: Point, coordinates: [13.76598429, 100.67705078]}","Sat Feb 15 07:03:05 +0000 2020"
"910844","{type: Point, coordinates: [22.27055556, 113.95277778]}","Sat Feb 15 08:18:51 +0000 2020"
"917564","{type: Point, coordinates: [-7.79584, 110.32262]}","Sat Feb 15 13:18:51 +0000 2020"
"920007","{type: Point, coordinates: [51.90561, -0.18868]}","Sat Feb 15 14:49:12 +0000 2020"
"926996","{type: Point, coordinates: [46.2598, 10.5862]}","Sat Feb 15 19:22:36 +0000 2020"
"928884","{type: Point, coordinates: [51.4703744, -0.45861438]}","Sat Feb 15 20:52:03 +0000 2020"
"930538","{type: Point, coordinates: [38.74751841, -9.09904258]}","Sat Feb 15 22:21:32 +0000 2020"
"930906","{type: Point, coordinates: [33.16392, -111.56539]}","Sat Feb 15 22:36:57 +0000 2020"
"935814","{type: Point, coordinates: [-8.54174, 115.11684]}","Sun Feb 16 02:22:37 +0000 2020"
"938386","{type: Point, coordinates: [37.58988308, -81.10803193]}","Sun Feb 16 04:08:21 +0000 2020"
"940416","{type: Point, coordinates: [10.77, 106.6815]}","Sun Feb 16 05:24:54 +0000 2020"
"941937","{type: Point, coordinates: [1.3553794, 103.8677444]}","Sun Feb 16 06:39:32 +0000 2020"
"941939","{type: Point, coordinates: [1.3553794, 103.8677444]}","Sun Feb 16 06:39:32 +0000 2020"
"944037","{type: Point, coordinates: [-7.93826448, -34.87766499]}","Sun Feb 16 08:11:35 +0000 2020"
"962486","{type: Point, coordinates: [-6.69452722, 107.82472585]}","Sun Feb 16 21:44:32 +0000 2020"
"963708","{type: Point, coordinates: [51.72957997, -1.24145508]}","Sun Feb 16 22:44:32 +0000 2020"
"974621","{type: Point, coordinates: [13.76598429, 100.67705078]}","Mon Feb 17 07:04:04 +0000 2020"
"978054","{type: Point, coordinates: [49.22826439, -123.04986139]}","Mon Feb 17 10:03:03 +0000 2020"
"979504","{type: Point, coordinates: [35.54556606, 139.76909614]}","Mon Feb 17 11:05:01 +0000 2020"
"984001","{type: Point, coordinates: [8.96389499, 7.42936372]}","Mon Feb 17 14:06:32 +0000 2020"
"984433","{type: Point, coordinates: [8.96389499, 7.42936372]}","Mon Feb 17 14:22:03 +0000 2020"
"995979","{type: Point, coordinates: [45.5236111, -122.675]}","Mon Feb 17 22:54:33 +0000 2020"
"996078","{type: Point, coordinates: [45.75975883, -73.56725453]}","Mon Feb 17 23:07:34 +0000 2020"
"997952","{type: Point, coordinates: [3.1581, 101.7109]}","Tue Feb 18 00:38:07 +0000 2020"
"1000411","{type: Point, coordinates: [17.0865, 120.90397]}","Tue Feb 18 02:38:45 +0000 2020"
"1000751","{type: Point, coordinates: [-6.1803, 106.8233]}","Tue Feb 18 02:53:49 +0000 2020"
"1003329","{type: Point, coordinates: [43.7742911, -79.7164011]}","Tue Feb 18 04:56:02 +0000 2020"
"1007545","{type: Point, coordinates: [41.7498, -88.1557]}","Tue Feb 18 08:12:09 +0000 2020"
"1007779","{type: Point, coordinates: [-6.95, 111.417]}","Tue Feb 18 08:26:19 +0000 2020"
"1008970","{type: Point, coordinates: [8.96389499, 7.42936372]}","Tue Feb 18 09:12:33 +0000 2020"
"1009602","{type: Point, coordinates: [51.50413561, -0.13608912]}","Tue Feb 18 09:42:32 +0000 2020"
"1011028","{type: Point, coordinates: [6.45306, 3.39583]}","Tue Feb 18 10:42:55 +0000 2020"
"1011806","{type: Point, coordinates: [25.0498094, 121.5171857]}","Tue Feb 18 11:13:13 +0000 2020"
"1016128","{type: Point, coordinates: [44.42904254, 8.75797811]}","Tue Feb 18 13:58:03 +0000 2020"
"1020487","{type: Point, coordinates: [41.3825, 2.17694444]}","Tue Feb 18 16:29:20 +0000 2020"
"1021623","{type: Point, coordinates: [54.90408869, -1.39141678]}","Tue Feb 18 17:13:45 +0000 2020"
"1026188","{type: Point, coordinates: [-6.6097149, 106.67876298]}","Tue Feb 18 20:14:34 +0000 2020"
"1028423","{type: Point, coordinates: [54.0, -2.0]}","Tue Feb 18 22:01:30 +0000 2020"
"1029100","{type: Point, coordinates: [40.76082733, -73.82850987]}","Tue Feb 18 22:31:57 +0000 2020"
"1035374","{type: Point, coordinates: [39.95127, -75.14524]}","Wed Feb 19 03:53:08 +0000 2020"
"1037087","{type: Point, coordinates: [-26.21659308, 28.06045532]}","Wed Feb 19 05:10:32 +0000 2020"
"1038695","{type: Point, coordinates: [8.96389499, 7.42936372]}","Wed Feb 19 06:38:33 +0000 2020"
"1046088","{type: Point, coordinates: [22.2826, 114.158]}","Wed Feb 19 13:11:46 +0000 2020"
"1047251","{type: Point, coordinates: [-6.98179715, 110.36643255]}","Wed Feb 19 13:58:04 +0000 2020"
"1054243","{type: Point, coordinates: [32.7774, -96.7977]}","Thu Feb 20 17:23:21 +0000 2020"
"1054295","{type: Point, coordinates: [32.7774, -96.7977]}","Thu Feb 20 17:23:58 +0000 2020"
"1056051","{type: Point, coordinates: [34.13328064, -118.29997659]}","Thu Feb 20 18:12:07 +0000 2020"
"1071512","{type: Point, coordinates: [0.0666667, 111.5]}","Fri Feb 21 02:27:42 +0000 2020"
"1074330","{type: Point, coordinates: [55.852472, -4.309626]}","Fri Feb 21 03:45:17 +0000 2020"
"1087084","{type: Point, coordinates: [14.63927286, 121.03634781]}","Fri Feb 21 08:02:24 +0000 2020"
"1092493","{type: Point, coordinates: [49.22826439, -123.04986139]}","Fri Feb 21 10:03:04 +0000 2020"
"1092496","{type: Point, coordinates: [49.22826439, -123.04986139]}","Fri Feb 21 10:03:05 +0000 2020"
"1098944","{type: Point, coordinates: [45.79642434, 8.41971495]}","Fri Feb 21 12:34:01 +0000 2020"
"1101392","{type: Point, coordinates: [1.29345832, 103.78384549]}","Fri Feb 21 13:20:31 +0000 2020"
"1108429","{type: Point, coordinates: [8.96389499, 7.42936372]}","Fri Feb 21 15:35:32 +0000 2020"
"1113361","{type: Point, coordinates: [45.4643, 9.1897]}","Fri Feb 21 17:19:42 +0000 2020"
"1114492","{type: Point, coordinates: [18.5, -69.9833]}","Fri Feb 21 17:36:57 +0000 2020"
"1116431","{type: Point, coordinates: [39.95942696, -82.98070682]}","Fri Feb 21 18:19:36 +0000 2020"
"1116548","{type: Point, coordinates: [45.5038, -73.5744]}","Fri Feb 21 18:20:18 +0000 2020"
"1118615","{type: Point, coordinates: [45.49597, 12.24416]}","Fri Feb 21 18:53:15 +0000 2020"
"1125687","{type: Point, coordinates: [51.50711486, -0.12731805]}","Fri Feb 21 21:20:45 +0000 2020"
"1126967","{type: Point, coordinates: [45.62631, 9.32175]}","Fri Feb 21 21:39:52 +0000 2020"
"1127075","{type: Point, coordinates: [45.4497076, 9.1977995]}","Fri Feb 21 21:50:55 +0000 2020"
"1146557","{type: Point, coordinates: [34.0522, -118.243]}","Sat Feb 22 06:11:42 +0000 2020"
"1151036","{type: Point, coordinates: [12.971117, 77.597645]}","Sat Feb 22 08:10:47 +0000 2020"
"1154264","{type: Point, coordinates: [41.9, 12.5]}","Sat Feb 22 09:24:27 +0000 2020"
"1154356","{type: Point, coordinates: [45.48138889, 9.17666667]}","Sat Feb 22 09:25:02 +0000 2020"
"1172523","{type: Point, coordinates: [6.05888667, 116.15030168]}","Sat Feb 22 14:58:23 +0000 2020"
"1190069","{type: Point, coordinates: [12.1364, -86.2514]}","Sat Feb 22 20:13:09 +0000 2020"
"1190552","{type: Point, coordinates: [39.06646, 8.4551]}","Sat Feb 22 20:15:54 +0000 2020"
"1195288","{type: Point, coordinates: [45.4643, 9.1897]}","Sat Feb 22 21:46:13 +0000 2020"
"1195442","{type: Point, coordinates: [45.4643, 9.1897]}","Sat Feb 22 21:47:06 +0000 2020"
"1198430","{type: Point, coordinates: [47.50372314, 8.55018989]}","Sat Feb 22 22:47:25 +0000 2020"
"1225275","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sun Feb 23 08:36:03 +0000 2020"
"1225849","{type: Point, coordinates: [47.50369263, 8.55011921]}","Sun Feb 23 08:49:34 +0000 2020"
"1229412","{type: Point, coordinates: [12.733333, 105.666667]}","Sun Feb 23 09:49:52 +0000 2020"
"1229628","{type: Point, coordinates: [12.733333, 105.666667]}","Sun Feb 23 09:50:59 +0000 2020"
"1229723","{type: Point, coordinates: [13.36092601, 103.89302731]}","Sun Feb 23 09:51:29 +0000 2020"
"1232363","{type: Point, coordinates: [41.9, 12.5]}","Sun Feb 23 10:36:21 +0000 2020"
"1233666","{type: Point, coordinates: [22.2833, 114.15]}","Sun Feb 23 11:04:08 +0000 2020"
"1266501","{type: Point, coordinates: [42.33628703, -7.86327502]}","Sun Feb 23 20:09:41 +0000 2020"
"1266879","{type: Point, coordinates: [47.50375366, 8.55019354]}","Sun Feb 23 20:21:57 +0000 2020"
"1267675","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sun Feb 23 20:36:32 +0000 2020"
"1270883","{type: Point, coordinates: [45.5236111, -122.675]}","Sun Feb 23 21:24:32 +0000 2020"
"1273971","{type: Point, coordinates: [-23.51736, -46.56767]}","Sun Feb 23 22:22:07 +0000 2020"
"1282862","{type: Point, coordinates: [45.42453564, -122.49621944]}","Mon Feb 24 00:41:54 +0000 2020"
"1289760","{type: Point, coordinates: [37.4441, -122.1633]}","Mon Feb 24 02:41:01 +0000 2020"
"1290004","{type: Point, coordinates: [1.37201581, 103.96257899]}","Mon Feb 24 02:42:15 +0000 2020"
"1290843","{type: Point, coordinates: [53.60276332, -1.93048239]}","Mon Feb 24 02:57:02 +0000 2020"
"1298386","{type: Point, coordinates: [45.4643, 9.1897]}","Mon Feb 24 05:10:27 +0000 2020"
"1304227","{type: Point, coordinates: [58.88221, 5.62986]}","Mon Feb 24 06:43:39 +0000 2020"
"1306133","{type: Point, coordinates: [26.36971389, 127.74661796]}","Mon Feb 24 07:25:06 +0000 2020"
"1318490","{type: Point, coordinates: [45.45167586, 9.17448604]}","Mon Feb 24 10:44:35 +0000 2020"
"1325607","{type: Point, coordinates: [37.56695005, 127.00843114]}","Mon Feb 24 12:45:20 +0000 2020"
"1326157","{type: Point, coordinates: [33.4597558, 126.33557443]}","Mon Feb 24 12:58:19 +0000 2020"
"1327377","{type: Point, coordinates: [43.0, 12.0]}","Mon Feb 24 13:15:04 +0000 2020"
"1329603","{type: Point, coordinates: [37.5574864, 126.9730625]}","Mon Feb 24 13:58:00 +0000 2020"
"1336780","{type: Point, coordinates: [40.05, 9.08333333]}","Mon Feb 24 15:58:43 +0000 2020"
"1341853","{type: Point, coordinates: [45.0702, 7.6777]}","Mon Feb 24 17:17:30 +0000 2020"
"1348978","{type: Point, coordinates: [44.45876, 8.90199]}","Mon Feb 24 19:17:42 +0000 2020"
"1351802","{type: Point, coordinates: [54.24167519, -8.80235543]}","Mon Feb 24 20:03:35 +0000 2020"
"1354367","{type: Point, coordinates: [41.89390176, 12.5505559]}","Mon Feb 24 20:48:03 +0000 2020"
"1357130","{type: Point, coordinates: [42.87684, -8.54432]}","Mon Feb 24 21:33:44 +0000 2020"
"1365269","{type: Point, coordinates: [35.68068905, 139.76521888]}","Mon Feb 24 23:49:25 +0000 2020"
"1365296","{type: Point, coordinates: [-26.65, 153.067]}","Mon Feb 24 23:49:30 +0000 2020"
"1366089","{type: Point, coordinates: [37.54274326, 126.98244019]}","Tue Feb 25 00:04:05 +0000 2020"
